Internal ID,Parent ID,Date Found,Type,Risky Data Type,Module,Children,Correlations,Distance,Starred,Annotation,Data,Source Data
026e87d46ad5b1fc41d820643677b51917cfdb4e02196e02f92c3360d5118728,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,dotto_1 (Net ID: 00:02:6F:9D:CD:40),"-22.9035, -47.0565"
056fe02038caaef10f45dd4b7265329692bc216e70b20265ba2cd2506bd3ae57,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Oi WiFi (Net ID: 00:02:6F:9B:DF:F2),"-22.9035, -47.0565"
059be15e38d25471f501c6e3fd2dc3b6d19692be8e967c1ac77f404166c0d35a,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:42,Software Used,1,sfp_shodan,0,0,1,0,,Remote Desktop Protocol,4.228.83.86
05a673a9cc5435711e6c588d2eaacee3e94b676c6fe922574ac873d986edc605,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Abdalla (Net ID: 00:01:E3:EB:A1:2D),"-22.9035, -47.0565"
05f32e10d2ab06e32c5fea997da108f1701cb65f93195815c894b6e9b78fcc62,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,myLGNet (Net ID: 00:02:A8:B1:50:BD),"-22.9035, -47.0565"
114c7338a6a86cd91ba0c302e4f9a20d8001d36a91793fac6070c9c7da797b1d,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,OLIVEIRA (Net ID: 00:04:DF:91:1C:B3),"-22.9035, -47.0565"
12655727680c6ac06a53d51ce7340da0e2c9d2efdfa7b9fd01cbf65cca654ded,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Joao (Net ID: 00:04:DF:97:48:9B),"-22.9035, -47.0565"
1b958aff686469081f1ff3462a2a507a2fd9c68e62f1974434683a370d6a7ae8,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,dotto_free (Net ID: 00:02:6F:9D:CD:41),"-22.9035, -47.0565"
1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,ROOT,2023-05-14 13:54:32,IP Address,0,SpiderFoot UI,18,0,0,0,,4.228.83.86,4.228.83.86
1f9bc4416f6cf22c94063e6f7f345a536881b5bed89b78ec1011fbad9ff3335c,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Marcos (Net ID: 00:03:2F:38:7F:99),"-22.9035, -47.0565"
20a807f25b50205bfad52100150fae04d1e95490f9072d8aff464f6dd01b9fbc,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,VIVO-8625 (Net ID: 00:04:DF:56:86:24),"-22.9035, -47.0565"
259ccfa29144ddea97137251264917d42f5305bc938dd0177bfe56671aa9ee44,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:42,Operating System,0,sfp_shodan,0,0,1,0,,Windows (Build 10.0.19041) (4.228.83.86),4.228.83.86
25c711c6fddf8e358e0d285f5c8f68a8050344ab53a4a542a291a247e28010b8,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Oi WiFi VEX (Net ID: 00:02:6F:9B:DF:7B),"-22.9035, -47.0565"
25cb398e1748d03826503e557859cf531dc61b42594a18afa434a41a7817715d,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:41,Physical Location,0,sfp_ipapico,1,0,1,0,,"Campinas, Sao Paulo, SP, Brazil, BR",4.228.83.86
2688b354b2446ca22c2d240d957cf4e34aa09f70243de67986a33354eef197f6,eae92215631baafa04cb673a21109a31d03bcc623fab7ad0ecbb2902562bdf9b,2023-05-14 13:54:48,Country,0,sfp_countryname,0,0,2,0,,Brazil,"Campinas, Sao Paulo, 07175, Brazil, South America"
2c56a87c2c71536bc9fddedda643d5b7dde6c4965749e9c29f8f0393e8415a5d,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,myLGNetB2DE (Net ID: 00:01:36:5B:B2:DC),"-22.9035, -47.0565"
